,date,opponent_Aston Villa,opponent_Bournemouth,opponent_Brentford,opponent_Brighton and Hove Albion,opponent_Burnley,opponent_Cardiff City,opponent_Chelsea,opponent_Crystal Palace,opponent_Everton,opponent_Fulham,opponent_Huddersfield Town,opponent_Leeds United,opponent_Leicester City,opponent_Liverpool,opponent_Luton Town,opponent_Manchester City,opponent_Manchester United,opponent_Newcastle United,opponent_Norwich City,opponent_Nottingham Forest,opponent_Sheffield United,opponent_Southampton,opponent_Tottenham Hotspur,opponent_Watford,opponent_West Bromwich Albion,opponent_West Ham United,opponent_Wolverhampton Wanderers,team_Aston Villa,team_Bournemouth,team_Brentford,team_Brighton and Hove Albion,team_Burnley,team_Cardiff City,team_Chelsea,team_Crystal Palace,team_Everton,team_Fulham,team_Huddersfield Town,team_Leeds United,team_Leicester City,team_Liverpool,team_Luton Town,team_Manchester City,team_Manchester United,team_Newcastle United,team_Norwich City,team_Nottingham Forest,team_Sheffield United,team_Southampton,team_Tottenham Hotspur,team_Watford,team_West Bromwich Albion,team_West Ham United,team_Wolverhampton Wanderers,venue_code,target,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,day_code_1,day_code_2,day_code_3,day_code_4,day_code_5,day_code_6,gf,ga,xg,xga,poss,attendance,sh,sot,dist,fk,pk,pkatt
1,2024-08-25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.2222222222222222,0.0,0.3571428571428571,0.07142857142857142,0.6875,0.7313190137649372,0.5277777777777778,0.5333333333333333,0.2398843930635838,0.25,0.0,0.0
2,2024-09-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.3333333333333333,0.0,0.2571428571428571,0.19999999999999998,0.453125,0.9042757021126406,0.3055555555555555,0.2,0.23410404624277462,0.0,0.0,0.0
3,2024-09-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.1111111111111111,0.12857142857142856,0.05714285714285714,0.78125,0.7354409317803661,0.38888888888888884,0.3333333333333333,0.2774566473988439,0.0,0.0,0.0
5,2024-09-21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.3333333333333333,0.0,0.2857142857142857,0.15714285714285714,0.625,0.7354787475419755,0.5277777777777778,0.8,0.32658959537572263,0.0,0.0,0.0
7,2024-09-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.2222222222222222,0.1111111111111111,0.3571428571428571,0.0857142857142857,0.578125,0.370758332072808,0.25,0.3333333333333333,0.3670520231213873,0.25,0.3333333333333333,0.3333333333333333
9,2024-10-05,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1111111111111111,0.0,0.19999999999999998,0.0857142857142857,0.78125,0.292252810971613,0.4444444444444444,0.26666666666666666,0.3930635838150289,0.0,0.0,0.0
1,2023-08-11,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.3333333333333333,0.0,0.2714285714285714,0.04285714285714285,0.734375,0.24671002873997885,0.4722222222222222,0.5333333333333333,0.2485549132947977,0.0,0.0,0.0
3,2023-08-19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.1111111111111111,0.0,0.14285714285714285,0.04285714285714285,0.640625,0.6481495487319116,0.38888888888888884,0.26666666666666666,0.36416184971098264,0.0,0.0,0.0
4,2023-08-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.2222222222222222,0.1111111111111111,0.5,0.09999999999999999,0.953125,0.3697877275248324,0.8055555555555555,0.6,0.34682080924855496,0.5,0.0,0.3333333333333333
5,2023-09-02,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.5555555555555556,0.1111111111111111,0.3142857142857143,0.19999999999999998,0.78125,0.6415948167196088,0.16666666666666666,0.26666666666666666,0.27456647398843936,0.0,0.3333333333333333,0.3333333333333333
